Record_ID,DOI,Title,Authors,Journal,Year,Material,Doping,Gas,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,DFT_Software,Functional,Data_Source,Extraction_Notes,Source_URL
1,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Graphene,NA,CO,-0.12,-0.01,3.02,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
2,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Graphene,NA,NO,-0.3,0.04,2.43,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
3,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Graphene,NA,NO2,-0.48,-0.19,2.73,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
4,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Graphene,NA,NH3,-0.11,0.02,2.85,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
5,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,B-doped Graphene,B,CO,-0.14,-0.02,2.97,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
6,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,B-doped Graphene,B,NO,-1.07,0.15,1.99,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
7,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,B-doped Graphene,B,NO2,-1.37,-0.34,1.67,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
8,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,B-doped Graphene,B,NH3,-0.5,0.4,1.66,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
9,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,N-doped Graphene,N,CO,-0.14,0.0,3.15,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
10,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,N-doped Graphene,N,NO,-0.4,0.01,2.32,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
11,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,N-doped Graphene,N,NO2,-0.98,-0.55,2.87,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
12,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,N-doped Graphene,N,NH3,-0.12,0.04,2.86,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
13,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Defective Graphene,vacancy,CO,-2.33,0.26,1.33,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
14,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Defective Graphene,vacancy,NO,-3.04,-0.29,1.34,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
15,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Defective Graphene,vacancy,NO2,-3.04,-0.38,1.42,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
16,10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Defective Graphene,vacancy,NH3,-0.24,0.02,2.61,CASTEP,LDA (CA-PZ),table,Mulliken charge on molecule; Table 1,https://doi.org/10.1088/0957-4484/20/18/185504
17,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.0184,0.021,3.7,Abinit,PBE,table,"Table; site=B, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
18,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.0187,0.021,3.7,Abinit,PBE,table,"Table; site=T, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
19,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.0203,0.021,3.69,Abinit,PBE,table,"Table; site=C, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
20,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.0238,0.013,3.55,Abinit,PBE,table,"Table; site=B, orient=n; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
21,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.0237,0.015,3.56,Abinit,PBE,table,"Table; site=T, orient=n; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
22,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.0265,0.014,3.55,Abinit,PBE,table,"Table; site=C, orient=n; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
23,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.0178,-0.009,4.05,Abinit,PBE,table,"Table; site=B, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
24,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.0185,-0.009,4.05,Abinit,PBE,table,"Table; site=T, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
25,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.0194,-0.01,4.02,Abinit,PBE,table,"Table; site=C, orient=d; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
26,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,H2O,0.047,-0.025,3.5,Abinit,PBE,table,"Table; site=C, orient=v; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
27,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NH3,0.0211,0.026,3.86,Abinit,PBE,table,"Table; site=B, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
28,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NH3,0.0201,0.026,3.86,Abinit,PBE,table,"Table; site=T, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
29,10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,Graphene,NA,NH3,0.0308,0.027,3.81,Abinit,PBE,table,"Table; site=C, orient=u; Hirshfeld ΔQ",https://doi.org/10.1103/PhysRevB.77.125416
