DOI,Title,Authors,Journal,Year,Material,Material_Class,Doping,Material_Dimensionality,Crystal_Structure,Gas,DFT_Software,Functional,Dispersion_Correction,Supercell,Adsorption_Site,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,Bandgap_Before_eV,Bandgap_After_eV,Bandgap_Change_eV,WorkFunction_Before_eV,WorkFunction_After_eV,WorkFunction_Change_eV,Sensitivity,Selectivity,Response_Time,Recovery_Time,Detection_Limit,Data_Source,Extraction_Notes
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Graphene,2D Carbon,NA,2D,NA,CO,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.12,-0.01,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Graphene,2D Carbon,NA,2D,NA,NO,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.3,0.04,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Graphene,2D Carbon,NA,2D,NA,NO2,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.48,-0.19,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,Graphene,2D Carbon,NA,2D,NA,NH3,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.11,0.02,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,B-doped Graphene,2D Carbon,B,2D,NA,CO,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.14,-0.02,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,B-doped Graphene,2D Carbon,B,2D,NA,NO,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-1.07,0.15,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,B-doped Graphene,2D Carbon,B,2D,NA,NO2,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-1.37,-0.34,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,B-doped Graphene,2D Carbon,B,2D,NA,NH3,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.5,0.4,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,N-doped Graphene,2D Carbon,N,2D,NA,CO,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.14,0.0,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,N-doped Graphene,2D Carbon,N,2D,NA,NO,CASTEP,LDA (CA-PZ),NA,12.30x12.30x10 Angstrom (50 C atoms),most_stable,-0.4,0.01,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table,Mulliken charge on molecule; Table 1
