DOI,Journal,Year,Material,Material_Class,Doping,Gas,DFT_Software,Functional,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,Bandgap_Before_eV,Bandgap_After_eV,Bandgap_Change_eV,WorkFunction_Before_eV,WorkFunction_After_eV,WorkFunction_Change_eV,Sensitivity,Selectivity,Response_Time,Recovery_Time,Detection_Limit,Gas_MolecularWeight,Gas_XLogP,Gas_TPSA,Gas_HeavyAtomCount,Gas_HBondDonorCount,Gas_HBondAcceptorCount,Mat_Group,Mat_Layers,Mat_MetalFraction
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,Graphene,2D Carbon,,CO,CASTEP,LDA (CA-PZ),-0.12,-0.01,3.02,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.0
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,Graphene,2D Carbon,,NO,CASTEP,LDA (CA-PZ),-0.3,0.04,2.43,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.0
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,Graphene,2D Carbon,,NO2,CASTEP,LDA (CA-PZ),-0.48,-0.19,2.73,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.0
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,Graphene,2D Carbon,,NH3,CASTEP,LDA (CA-PZ),-0.11,0.02,2.85,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.0
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,B-doped Graphene,2D Carbon,B,CO,CASTEP,LDA (CA-PZ),-0.14,-0.02,2.97,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.01
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,B-doped Graphene,2D Carbon,B,NO,CASTEP,LDA (CA-PZ),-1.07,0.15,1.99,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.01
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,B-doped Graphene,2D Carbon,B,NO2,CASTEP,LDA (CA-PZ),-1.37,-0.34,1.67,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,carbon_2d,1,0.01
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,B-doped Graphene,2D Carbon,B,NH3,CASTEP,LDA (CA-PZ),-0.5,0.4,1.66,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,carbon_2d,1,0.01
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,N-doped Graphene,2D Carbon,N,CO,CASTEP,LDA (CA-PZ),-0.14,0.0,3.15,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,carbon_2d,1,0.01
10.1088/0957-4484/20/18/185504,Nanotechnology,2009,N-doped Graphene,2D Carbon,N,NO,CASTEP,LDA (CA-PZ),-0.4,0.01,2.32,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,carbon_2d,1,0.01
