material,Eg_eV,chi_eV,chi_source,layer_role,material_class,record_type,source_doi,source_paper,source_table
CdS,2.4000,4.1800,literature_SCAPS,etl,contact_layer,etl_library,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS device tables,Table 1
CdZnS,3.2000,4.2000,literature_SCAPS,etl,contact_layer,etl_library,10.1038/s41598-025-98351-y,K2TiI6 SCAPS device tables,Table 1
LBSO,3.1200,4.4000,literature_SCAPS,etl,contact_layer,etl_library,10.1038/s41598-025-98351-y,K2TiI6 SCAPS device tables,Table 1
Nb2O5,3.4600,4.3300,literature_SCAPS,etl,contact_layer,etl_library,10.1038/s41598-025-98351-y,K2TiI6 SCAPS device tables,Table 1
PC60BM,1.8000,4.2000,literature_SCAPS,etl,contact_layer,etl_library,10.1038/s41598-025-98351-y,K2TiI6 SCAPS device tables,Table 1
PCBM,2.0000,3.9000,literature_SCAPS,etl,contact_layer,etl_library,10.1007/s11082-026-08738-y,BeSiP2 SCAPS device tables,Table 1
SnO2,3.6000,3.9000,literature_SCAPS,etl,contact_layer,etl_library,10.1007/s11082-026-08738-y,BeSiP2 SCAPS device tables,Table 1
SnS2,1.8500,4.2600,literature_SCAPS,etl,contact_layer,etl_library,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS device tables,Table 1
TiO2,3.4000,4.0000,literature_SCAPS,etl,contact_layer,etl_library,10.1007/s11082-026-08738-y,BeSiP2 SCAPS device tables,Table 1
WS2,1.8000,3.9500,literature_SCAPS,etl,contact_layer,etl_library,10.1007/s11082-026-08738-y,BeSiP2 SCAPS device tables,Table 1
ZnO,3.3000,4.0000,literature_SCAPS,etl,contact_layer,etl_library,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS device tables,Table 1
BaSnO3,3.1200,4.4000,literature_SCAPS,etl,contact_layer,etl_library,10.1038/s41598-025-98351-y,K2TiI6 SCAPS device tables,Table 1
C60,1.7000,3.9000,literature_SCAPS,etl,contact_layer,verified_contact,10.1007/s11082-026-08738-y,Fullerene ETL family; Eg/χ aligned with PCBM SCAPS parameters in BeSiP2 tables,Table 1 family
ZnSe,2.8100,4.0900,literature_SCAPS,etl,contact_layer,verified_contact,10.1038/s41598-025-98351-y,K2TiI6 SCAPS device tables (ZnSe ETL),Table 1
