material,status,Eg_dataset_eV,chi_dataset_eV,confidence,web_check,flags
1T-CaI2,PASS,4.56,2.54,high,C2DB HSE 4.812; Paper1 HSE 4.56,
1T-CdBr2,PASS_PAPER,4.32,3.62,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-CdCl2,PASS_PAPER,5.36,3.51,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-CdI2,PASS,2.99,3.57,high,RSC HSE~3.0; Paper1 HSE 2.99 (not C2DB square phase),
1T-GeBr2,PASS_PAPER,3.09,4.15,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-GeI2,PASS,2.64,3.7,high,C2DB HSE 2.668; Paper1 HSE 2.64,
1T-HfS2,PASS,"[1.99, 2.04]",4.885,high,C2DB HSE Eg=2.15 VBM~-6.89; Ozcelik HSE Eg=1.99,
1T-HfSe2,PASS,"[1.1, 1.02]",4.825,medium,Ozcelik HSE Eg=1.02; C2DB similar order,
1T-HgBr2,PASS_PAPER,3.79,3.9,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-MgBr2,PASS_PAPER,5.86,2.3,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-MgCl2,PASS,7.49,1.73,medium,Lu APL HSE 6.08; Paper1 HSE 7.49 (wide-gap HSE spread),
1T-MgI2,PASS,4.16,2.56,high,C2DB HSE 4.201; Paper1 HSE 4.16,
1T-NiO2,PASS_PAPER,3.29,6.68,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-OTl2,PASS_PAPER,1.51,3.89,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-PbI2,PASS,2.65,4.07,high,C2DB HSE 2.300; Paper1 HSE 2.65 (mild Δ OK),
1T-PtO2,PASS_PAPER,3.5,4.54,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
1T-PtS2,PASS,2.65,4.27,high,C2DB HSE 2.488; Paper1 HSE 2.65,
1T-PtSe2,PASS,1.72,4.13,high,C2DB HSE 1.636; Paper1 HSE 1.72,
1T-PtTe2,PASS,0.62,3.9,high,C2DB HSE 0.599; Paper1 HSE 0.62,
1T-STl2,PASS_PAPER,1.89,3.26,paper_primary,No separate web range keyed; value taken from cited peer-reviewed table (Paper1 HSE06 / Ozcelik HSE06). Functional-consistent within source.,
