material,Eg_eV,chi_eV,role,chi_source
1T-CaI2,4.56,2.54,monolayer,literature_HSE06_monolayer
1T-CdBr2,4.32,3.62,monolayer,literature_HSE06_monolayer
1T-CdCl2,5.36,3.509999999999999,monolayer,literature_HSE06_monolayer
1T-CdI2,2.99,3.5699999999999994,monolayer,literature_HSE06_monolayer
1T-GeBr2,3.09,4.15,monolayer,literature_HSE06_monolayer
1T-GeI2,2.64,3.6999999999999997,monolayer,literature_HSE06_monolayer
1T-HfS2,2.04,5.02,monolayer,literature_HSE06_monolayer
1T-HfSe2,1.1,4.91,monolayer,literature_HSE06_monolayer
1T-HgBr2,3.79,3.9000000000000004,monolayer,literature_HSE06_monolayer
1T-MgBr2,5.86,2.3,monolayer,literature_HSE06_monolayer
1T-MgCl2,7.49,1.7300000000000004,monolayer,literature_HSE06_monolayer
1T-MgI2,4.16,2.5599999999999996,monolayer,literature_HSE06_monolayer
1T-NiO2,3.29,6.680000000000001,monolayer,literature_HSE06_monolayer
1T-OTl2,1.51,3.8900000000000006,monolayer,literature_HSE06_monolayer
1T-PbI2,2.65,4.07,monolayer,literature_HSE06_monolayer
1T-PdTe2,0.09,4.36,monolayer,literature_HSE06_monolayer
1T-PtO2,3.5,4.539999999999999,monolayer,literature_HSE06_monolayer
1T-PtS2,2.65,4.27,monolayer,literature_HSE06_monolayer
1T-PtSe2,1.72,4.13,monolayer,literature_HSE06_monolayer
1T-PtTe2,0.62,3.8999999999999995,monolayer,literature_HSE06_monolayer
1T-SnS2,2.48,4.970000000000001,monolayer,literature_HSE06_monolayer
1T-SnSe2,1.44,5.18,monolayer,literature_HSE06_monolayer
1T-STl2,1.89,3.2600000000000007,monolayer,literature_HSE06_monolayer
1T-TiS2,0.71,5.71,monolayer,literature_HSE06_monolayer
1T-YbI2,2.35,2.8400000000000003,monolayer,literature_HSE06_monolayer
1T-ZnBr2,4.61,3.21,monolayer,literature_HSE06_monolayer
1T-ZnCl2,6.12,2.6800000000000006,monolayer,literature_HSE06_monolayer
1T-ZnI2,2.59,3.8500000000000005,monolayer,literature_HSE06_monolayer
1T-ZrS2,1.95,5.25,monolayer,literature_HSE06_monolayer
1T-ZrSe2,0.94,5.210000000000001,monolayer,literature_HSE06_monolayer
1T_d-ReS2,1.96,4.28,monolayer,literature_HSE06_monolayer
1T_d-ReSe2,1.7,3.8,monolayer,literature_HSE06_monolayer
2H-GeI2,2.36,3.9600000000000004,monolayer,literature_HSE06_monolayer
2H-MoS2,2.22,4.220000000000001,monolayer,literature_HSE06_monolayer
2H-MoSe2,1.95,3.8599999999999994,monolayer,literature_HSE06_monolayer
2H-MoTe2,1.5,3.75,monolayer,literature_HSE06_monolayer
2H-WS2,2.2,3.88,monolayer,literature_HSE06_monolayer
2H-WSe2,1.88,3.58,monolayer,literature_HSE06_monolayer
2H-WTe2,1.3,3.62,monolayer,literature_HSE06_monolayer
2H-ZrCl2,1.55,3.0300000000000002,monolayer,literature_HSE06_monolayer
AgNbLaAlO6,4.1645432,3.5512,absorber,ml_plus_family_prior
AgNbLaGaO6,4.454628775,3.5629,absorber,ml_plus_family_prior
AgNbLaInO6,4.192522296,3.5736,absorber,ml_plus_family_prior
AgNbMgTiO6,3.963856895,3.5499,absorber,ml_plus_family_prior
AgNbSnTiO6,2.881239408,3.6817,absorber,ml_plus_family_prior
AgNbYAlO6,3.958215489,3.542,absorber,ml_plus_family_prior
