openalex_id,doi,title,authors,journal,year,cited_by_count,search_query,target_journal_match,extraction_status
https://openalex.org/W2024227324,10.1039/c4nr01600a,"Science and technology roadmap for graphene, related two-dimensional crystals, and hybrid systems","Andrea C. Ferrari, Francesco Bonaccorso, Vladimir I. Fal’ko, et al.",Nanoscale,2014,3014,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W2019764142,10.1186/1556-276x-8-425,Adsorption of gas molecules on monolayer MoS2 and effect of applied electric field,"Yue Qu, Zhengzheng Shao, Shengli Chang, et al.",Nanoscale Research Letters,2013,721,DFT adsorption energy gas sensing MoS2,True,pending
https://openalex.org/W1995019017,10.1039/c4nr00024b,Solution synthesis of metal oxides for electrochemical energy storage applications,"Xinhui Xia, Yongqi Zhang, Dongliang Chao, et al.",Nanoscale,2014,406,first principles NH3 NO2 gas sensor metal oxide,True,pending
https://openalex.org/W3119824787,10.1016/j.snb.2020.129425,Triethylamine gas sensor based on Pt-functionalized hierarchical ZnO microspheres,"Jingjing Liu, Liuyang Zhang, Jiajie Fan, et al.",Sensors and Actuators B Chemical,2021,346,DFT adsorption energy gas sensing ZnO,True,pending
https://openalex.org/W2137084270,10.1039/c5nr06038a,Resistive graphene humidity sensors with rapid and direct electrical readout,"Anderson D. Smith, Karim Elgammal, Frank Niklaus, et al.",Nanoscale,2015,331,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W2902828440,10.1039/c8ta08407f,A Janus MoSSe monolayer: a superior and strain-sensitive gas sensing material,"Cui Jin, Xiao Tang, Xin Tan, et al.",Journal of Materials Chemistry A,2018,296,DFT adsorption energy gas sensing MoS2,True,pending
https://openalex.org/W2005809625,10.1016/j.apsusc.2015.03.068,A first-principles study on gas sensing properties of graphene and Pd-doped graphene,"Ling Ma, Jian‐Min Zhang, Kewei Xu, et al.",Applied Surface Science,2015,284,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W2801189401,10.1021/acssensors.8b00146,Photoactivated Mixed In-Plane and Edge-Enriched p-Type MoS<sub>2</sub> Flake-Based NO<sub>2</sub> Sensor Working at Room Temperature,"Abhay V. Agrawal, Rahul Kumar, Swaminathan Venkatesan, et al.",ACS Sensors,2018,210,DFT adsorption energy gas sensing MoS2,True,pending
https://openalex.org/W3123586019,10.1016/j.apsusc.2021.149104,DFT exploration of sensor performances of two-dimensional WO3 to ten small gases in terms of work function and band gap changes and I-V responses,"Jiahui Li, Jie Wu, Yang‐Xin Yu",Applied Surface Science,2021,202,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W1974624568,10.1039/c4cp01279h,Crystal plane-dependent gas-sensing properties of zinc oxide nanostructures: experimental and theoretical studies,"Yusuf Valentino Kaneti, Zhengjie Zhang, Jeffrey Yue, et al.",Physical Chemistry Chemical Physics,2014,199,DFT adsorption energy gas sensing ZnO,True,pending
https://openalex.org/W2316973832,10.1039/c6ta01355d,"Synthesis, characterization and DFT studies of zinc-doped copper oxide nanocrystals for gas sensing applications","Vasilii Creţu, Vasile Postica, Abhishek Kumar Mishra, et al.",Journal of Materials Chemistry A,2016,197,DFT adsorption energy gas sensing ZnO,True,pending
https://openalex.org/W2600305143,10.1016/j.apsusc.2017.03.178,Adsorption of gas molecules on Ga-doped graphene and effect of applied electric field: A DFT study,"Xiongyi Liang, Ning Ding, Siu‐Pang Ng, et al.",Applied Surface Science,2017,184,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W2579928441,10.1016/j.apsusc.2017.01.264,Adsorption of gas molecules on graphene-like InN monolayer: A first-principle study,"Xiang Sun, Qun Yang, Ruishen Meng, et al.",Applied Surface Science,2017,183,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W2345090270,10.1016/j.apsusc.2016.04.158,Adsorption of gas molecules on Cu impurities embedded monolayer MoS2: A first- principles study,"Bin Zhao, C.Y. Li, L.L. Liu, et al.",Applied Surface Science,2016,148,DFT adsorption energy gas sensing MoS2,True,pending
https://openalex.org/W2127722169,10.1039/c3ta01673k,Indium-doped SnO2 nanoparticle–graphene nanohybrids: simple one-pot synthesis and their selective detection of NO2,"Shumao Cui, Zhenhai Wen, Eric C. Mattson, et al.",Journal of Materials Chemistry A,2013,146,DFT adsorption energy gas sensing SnO2,True,pending
https://openalex.org/W2951982654,10.1016/j.snb.2019.126710,Enhanced methane sensing property of flower-like SnO2 doped by Pt nanoparticles: A combined experimental and first-principle study,"Dongping Xue, Pengtao Wang, Zhanying Zhang, et al.",Sensors and Actuators B Chemical,2019,142,DFT adsorption energy gas sensing SnO2,True,pending
https://openalex.org/W2918274762,10.1016/j.apsusc.2019.02.244,"A DFT study of CO adsorption on the pristine, defective, In-doped and Sb-doped graphene and the effect of applied electric field","Shulin Yang, Gui Lei, Huoxi Xu, et al.",Applied Surface Science,2019,140,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W2460838568,10.1021/acs.jpcc.5b07359,B–N@Graphene: Highly Sensitive and Selective Gas Sensor,"Indrani Choudhuri, Nandini Patra, Arup Mahata, et al.",The Journal of Physical Chemistry C,2015,131,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W2036452748,10.1016/j.apsusc.2014.05.223,Improving SO2 gas sensing properties of graphene by introducing dopant and defect: A first-principles study,"Xuying Liu, Jian‐Min Zhang, Kewei Xu, et al.",Applied Surface Science,2014,131,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W2943925338,10.3390/s19092123,Gas Sensors Based on Mechanically Exfoliated MoS2 Nanosheets for Room-Temperature NO2 Detection,"Wenli Li, Yong Zhang, Xia Long, et al.",Sensors,2019,128,DFT adsorption energy gas sensing MoS2,True,pending
https://openalex.org/W2736512930,10.3390/chemosensors5030021,Thin 2D: The New Dimensionality in Gas Sensing,G. Neri,Chemosensors,2017,124,first principles NH3 NO2 gas sensor metal oxide,True,pending
https://openalex.org/W2792602592,10.1016/j.apsusc.2018.02.183,Exploration of sensing of nitrogen dioxide and ozone molecules using novel TiO2/Stanene heterostructures employing DFT calculations,"Amirali Abbasi, Jaber Jahanbin Sardroodi",Applied Surface Science,2018,119,DFT adsorption energy gas sensing TiO2,True,pending
https://openalex.org/W2991012505,10.1016/j.snb.2019.127489,Al doped narcissus-like ZnO for enhanced NO2 sensing performance: An experimental and DFT investigation,"Yonghui Zhang, Yuliang Li, Feilong Gong, et al.",Sensors and Actuators B Chemical,2019,116,DFT adsorption energy gas sensing ZnO,True,pending
https://openalex.org/W2314072086,10.1021/jp3073359,Adsorption and Catalytic Activation of O<sub>2</sub> Molecule on the Surface of Au-Doped Graphene under an External Electric Field,"Teng Zhang, Qingzhong Xue, Meixia Shan, et al.",The Journal of Physical Chemistry C,2012,110,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W4286492237,10.3390/chemosensors10070289,Metal Oxide Semiconductor Nanostructure Gas Sensors with Different Morphologies,"Ali Mirzaei, Hamid Reza Ansari, Mehrdad Shahbaz, et al.",Chemosensors,2022,108,first principles NH3 NO2 gas sensor metal oxide,True,pending
https://openalex.org/W2531031093,10.1016/j.snb.2016.10.019,Polypyrrole/TiO2 composites for the application of photocatalysis,"Habib Ullah, Asif Ali Tahir, Tapas K. Mallick",Sensors and Actuators B Chemical,2016,106,DFT adsorption energy gas sensing TiO2,True,pending
https://openalex.org/W3204769052,10.1016/j.apsusc.2021.151212,TiO2–Doped GeSe Monolayer: A highly selective gas sensor for SF6 decomposed species detection based on DFT method,"Hao Sun, Lu‐Qi Tao, Tao Li, et al.",Applied Surface Science,2021,105,DFT adsorption energy gas sensing TiO2,True,pending
https://openalex.org/W4229454433,10.1016/j.apsusc.2022.153603,Doubly doped graphene as gas sensing materials for oxygen-containing gas molecules: A first-principles investigation,"Siraj Ud Daula Shamim, Debashis Roy, Shamiul Alam, et al.",Applied Surface Science,2022,89,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W1436634944,10.1016/j.snb.2015.08.040,DFT study on interaction of NO2 with the vacancy-defected WO3 nanowires for gas-sensing,"Yuxiang Qin, Zhenhua Ye",Sensors and Actuators B Chemical,2015,88,DFT adsorption energy gas sensing WO3,True,pending
https://openalex.org/W4323778711,10.1039/d2ta10014b,Advances in sensing mechanisms and micro/nanostructured sensing layers for surface acoustic wave-based gas sensors,"Xue Li, Wenfeng Sun, Wei Fu, et al.",Journal of Materials Chemistry A,2023,86,first principles NH3 NO2 gas sensor metal oxide,True,pending
https://openalex.org/W2612757152,10.1016/j.snb.2017.05.027,Experimental and theoretical studies of V2O5@TiO2 core-shell hybrid composites with high gas sensing performance towards ammonia,"Haitao Fu, Xiaohong Yang, Xizhong An, et al.",Sensors and Actuators B Chemical,2017,82,DFT adsorption energy gas sensing TiO2,True,pending
https://openalex.org/W2886501337,10.1021/acs.jpcc.8b06803,Drastic Improvement in Gas-Sensing Characteristics of Phosphorene Nanosheets under Vacancy Defects and Elemental Functionalization,"Thanayut Kaewmaraya, Lappawat Ngamwongwan, Pairot Moontragoon, et al.",The Journal of Physical Chemistry C,2018,81,DFT adsorption energy gas sensing MoS2,True,pending
https://openalex.org/W2808218580,10.1016/j.apsusc.2018.06.112,Adsorption sensitivity of Fe decorated different graphene supports toward toxic gas molecules (CO and NO),"Zhengyang Gao, Yao Sun, Minghui Li, et al.",Applied Surface Science,2018,80,DFT adsorption energy gas sensing graphene,True,pending
https://openalex.org/W3115920013,10.1016/j.snb.2020.129366,ZIF-8 derived ZnO polyhedrons decorated with biomass derived nitrogen-doped porous carbon for enhanced acetone sensing,"Xiao Chang, Kun Li, Xurong Qiao, et al.",Sensors and Actuators B Chemical,2020,79,DFT adsorption energy gas sensing ZnO,True,pending
https://openalex.org/W2943663236,10.1016/j.snb.2019.04.110,Highly sensitive BTEX sensors based on hexagonal WO3 nanosheets,"Dan Zhang, Fan Yu, Gaojie Li, et al.",Sensors and Actuators B Chemical,2019,78,DFT adsorption energy gas sensing WO3,True,pending
https://openalex.org/W2278391432,10.3390/s16030273,"Investigation of the Performance of HEMT-Based NO, NO2 and NH3 Exhaust Gas Sensors for Automotive Antipollution Systems","Yacine Halfaya, Chris Bishop, A. Soltani, et al.",Sensors,2016,75,first principles NH3 NO2 gas sensor metal oxide,True,pending
https://openalex.org/W2063919881,10.1021/jp105733p,Adsorption of NO<sub>2</sub> on Oxygen Deficient ZnO(2110) for Gas Sensing Applications: A DFT Study,"Michael Breedon, Michelle J. S. Spencer, Irene Yarovsky",The Journal of Physical Chemistry C,2010,74,DFT adsorption energy gas sensing ZnO,True,pending
https://openalex.org/W3048439901,10.1016/j.apsusc.2020.147509,Dissolved gas analysis in transformer oil using Sb-doped graphene: A DFT study,"Xianxian Gui, Qu Zhou, Shudi Peng, et al.",Applied Surface Science,2020,74,DFT adsorption energy gas sensing graphene,True,pending
