Functional,N_rows,MAE_eV,R2,Mean_Actual_eV,Mean_Predicted_eV
PBE-GGA,30,2.2126,-4.9365,1.3783,-0.8343
DFT-GGA,6,1.2568,-5.4561,-1.6117,-0.3548
LDA (CA-PZ),16,0.7946,-0.0914,-0.8987,-0.883
GGA-PBE,236,0.4892,0.2788,-0.8016,-0.7417
DFT (ATK),12,0.2435,-0.4744,-0.3787,-0.5319
GGA-PBE+D3,24,0.2182,-0.2856,-0.4328,-0.4782
PBE,79,0.2038,-1.9612,-0.1229,-0.2516
LDA,23,0.1323,-1.183,-0.1662,-0.1543
DFT-D2,5,0.1233,-20.2846,-0.126,-0.1509
revPBE-vdw,5,0.1195,-7.95,-0.1926,-0.1509
LSDA,7,0.1192,-2.7201,-0.1853,-0.2112
optPBE-vdw,5,0.1087,-8.8354,-0.2266,-0.1509
