Gas,N_rows,MAE_eV,R2,Mean_Actual_eV,Mean_Predicted_eV
SO2,41,0.942,0.0139,-1.0242,-1.3248
O2,22,0.9064,0.0992,-0.5171,-1.1137
NO,71,0.7467,-0.1928,-0.5996,-0.7011
NO2,78,0.6294,-0.0733,-0.5168,-0.5559
CO2,24,0.4736,-3.0041,-0.0341,-0.2617
SOF2,5,0.4262,-1.8139,-0.6884,-0.5231
H2S,15,0.4012,-0.0613,-0.3246,-0.4895
CO,63,0.3619,-0.0654,-0.4239,-0.5557
NH3,82,0.3466,-0.0206,-0.4338,-0.3492
N2,14,0.2185,0.2114,-0.1539,-0.2023
H2O,28,0.1959,-0.1135,-0.1715,-0.2288
H2,22,0.1534,-0.0471,-0.0671,-0.1159
