Material,Gas,Material_Class,Doping,Functional,DFT_Software,Mat_Group,Mat_Layers,Mat_MetalFraction,Charge_Transfer_e,Adsorption_Distance_A,Bandgap_Before_eV,Bandgap_After_eV,Bandgap_Change_eV,Gas_MolecularWeight,Gas_XLogP,Gas_TPSA,Gas_HeavyAtomCount,Gas_HBondDonorCount,Gas_HBondAcceptorCount,Predicted_Adsorption_Energy_eV
Fe-embedded Graphene,O2,2D Carbon,Fe,,,carbon_2d,1,0.02,,,,,,31.999,-1.1,34.1,2,0,2,-3.2873
Fe@Graphene,O2,2D Carbon,Fe,,,carbon_2d,1,0.02,,,,,,31.999,-1.1,34.1,2,0,2,-3.2873
Co@Graphene,O2,2D Carbon,Co,,,carbon_2d,1,0.02,,,,,,31.999,-1.1,34.1,2,0,2,-3.2873
Cu-embedded Graphene,O2,2D Carbon,Cu,,,carbon_2d,1,0.02,,,,,,31.999,-1.1,34.1,2,0,2,-3.2873
Co-embedded Graphene,O2,2D Carbon,Co,,,carbon_2d,1,0.02,,,,,,31.999,-1.1,34.1,2,0,2,-3.2873
Ni-embedded Graphene,O2,2D Carbon,Ni,,,carbon_2d,1,0.02,,,,,,31.999,-1.1,34.1,2,0,2,-3.2873
Zn-embedded Graphene,O2,2D Carbon,Zn,,,carbon_2d,1,0.02,,,,,,31.999,-1.1,34.1,2,0,2,-3.2873
Co-anchored Graphene,NO,2D Carbon,Co,,,carbon_2d,1,0.02,,,,,,30.006,0.2,18.1,2,0,1,-3.085
Ni-embedded Graphene,NO,2D Carbon,Ni,,,carbon_2d,1,0.02,,,,,,30.006,0.2,18.1,2,0,1,-3.085
Fe-embedded Graphene,NO,2D Carbon,Fe,,,carbon_2d,1,0.02,,,,,,30.006,0.2,18.1,2,0,1,-3.085
