material_absorber,material_etl,material_htl,absorber_band_gap_eV,etl_band_gap_eV,htl_band_gap_eV,cbo_eV,vbo_eV,absorber_etl_type,absorber_htl_type,gap_method,functional,gap_type,material_class,source_doi,source_paper
K2TiI6,PC60BM,MWCNTs,1.61,1.8,1.55,-0.2,0.42,Type I,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
K2TiI6,PC60BM,MoO3,1.61,1.8,3.0,-0.2,0.31,Type I,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
K2TiI6,PC60BM,PTAA,1.61,1.8,2.96,-0.2,0.35,Type I,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
K2TiI6,PC60BM,TiO2:N,1.61,1.8,3.0,-0.2,0.41,Type I,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
K2TiI6,PC60BM,NiCo2O4,1.61,1.8,2.3,-0.2,-0.17,Type I,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
K2TiI6,PC60BM,C6TBTAPH2,1.61,1.8,1.59,-0.2,0.44,Type I,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
K2TiI6,PC60BM,nPB,1.61,1.8,2.4,-0.2,0.21,Type I,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
K2TiI6,PC60BM,C6PcH2,1.61,1.8,1.6,-0.2,0.31,Type I,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
K2TiI6,PC60BM,CuAlO2,1.61,1.8,3.46,-0.2,-0.35,Type I,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
K2TiI6,PC60BM,D-PBTTT-14,1.61,1.8,2.16,-0.2,0.25,Type I,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Tables 1-2
