material_absorber,absorber_band_gap_eV,phase,heat_of_formation_eV_per_atom,source_doi,source_paper
Cs2AgAlBr6 (cubic),1.0274,cubic,-1.240558,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAsBr6 (cubic),0.781,cubic,-1.012833,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgBiBr6 (cubic),1.1399,cubic,-1.14509,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgInBr6 (cubic),0.1818,cubic,-1.162859,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgSbBr6 (cubic),0.8519,cubic,-1.097396,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuBiBr6 (cubic),0.1284,cubic,-1.043968,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuAsBr6 (cubic),0.2252,cubic,-0.959211,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuBiBr6 (cubic),0.5649,cubic,-1.093462,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuSbBr6 (cubic),0.3254,cubic,-1.045705,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAlBr6 (cubic),1.9981,cubic,-1.325691,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAsBr6 (cubic),0.1267,cubic,-1.095793,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InBiBr6 (cubic),0.0181,cubic,-1.214388,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InGaBr6 (cubic),1.016,cubic,-1.221825,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InInBr6 (cubic),0.8082,cubic,-1.240543,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InSbBr6 (cubic),0.087,cubic,-1.169662,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAlBr6 (cubic),2.6282,cubic,-1.360378,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAsBr6 (cubic),0.8269,cubic,-1.114578,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlBiBr6 (cubic),0.6537,cubic,-1.240365,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlGaBr6 (cubic),1.4557,cubic,-1.224605,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlInBr6 (cubic),1.6335,cubic,-1.268263,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
