DOI,Title,Authors,Journal,Year,record_count
10.3390/chemengineering10030042,Catalytic Activity of Multi-Boron-Doped Graphene from First Principles,"Maji R, De J",ChemEngineering,2026,40
10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,39
10.1103/PhysRevB.77.125416,"Adsorption of H2O, NH3, CO, NO2, and NO on graphene: A first-principles study","Leenaerts O, Partoens B, Peeters FM",Physical Review B,2008,35
10.1016/j.apsusc.2019.06.049,Defect engineered MoSSe Janus monolayer as a promising two dimensional material for NO2 and NO gas sensing,"Chaurasiya R, Dixit A",Applied Surface Science,2019,32
10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,30
10.3390/ijms241210284,Substitutional Coinage Metals as Promising Defects for Adsorption and Detection of Gases on MoS2 Monolayers,"Gutierrez-Rodriguez J, Castro M, Nieto-Jalil JM, et al.",International Journal of Molecular Sciences,2023,30
10.3390/nano10061215,"Molecular Adsorption of NH3 and NO2 on Zr and Hf Dichalcogenides (S, Se, Te) Monolayers: A Density Functional Theory Study","Raya SS, Ansari AS, Shong B",Nanomaterials,2020,24
10.1088/2053-1591/ac021d,Understanding the adsorption behavior of small molecule in MoS2 device,"Jiang W, Chen K, Wang J, Geng D, Lu N, Li L",Materials Research Express,2021,24
10.1063/1.4922049,Mechanism of charge transfer and Fermi-level pinning for gas molecules on WS2,"Zhou C, Yang W, Zhu H",Journal of Chemical Physics,2015,23
10.1016/j.cplett.2014.01.043,Gas adsorption on MoS2 monolayer from first-principles calculations,"Zhang C, Johnson A, Hsu CW, Li LJ, Mazzoni MSC",Chemical Physics Letters,2014,20
10.1088/0957-4484/20/18/185504,Improving gas sensing properties of graphene by introducing dopants and defects: a first-principles study,"Zhang YH, Chen YB, Zhou KG, Liu CH, Zeng J, Zhang HL, Peng Y",Nanotechnology,2009,16
10.3390/molecules201019540,"Unique Reactivity of Transition Metal Atoms Embedded in Graphene to CO, NO, O2 and O Adsorption","Medford AJ, Shi X, Sun Q, et al.",Molecules,2015,15
10.1039/C4DT01401D,Detecting gas molecules via atomic magnetization,Choi et al.,Dalton Transactions,2014,12
10.3390/s20143932,"Enhancing the Sensing Performance of Zigzag Graphene Nanoribbon to Detect NO, NO2, and NH3 Gases","Salih E, Ayesh AI",Sensors,2020,12
10.3390/molecules29215086,"Adsorption Properties of Metal Atom (Co, V, W, Zr)-Modified MoTe2 for CO, CH3CHO, and C6H6 Gases: A DFT Study","Xiao W, Wang Z, Gui Y",Molecules,2024,12
10.1140/epjb/e2012-30853-y,Sulfur dioxide adsorbed on graphene and heteroatom-doped graphene: a first-principles study,"Li C, Zhang J, Xu K, et al.",European Physical Journal B,2013,10
10.1039/C3NR06670C,Strain engineering of selective chemical adsorption on monolayer MoS2,"Kou L, Du A, Chen C, Frauenheim T",Nanoscale,2014,10
10.1039/D0RA06760A,Adsorption and sensing of CO and NH3 on chemically modified graphene surfaces,"Rani P, Shaju AC, Thomas KG",RSC Advances,2020,10
10.3390/molecules27103176,"Gas-Sensing Property of TM-MoTe2 Monolayer towards SO2, SOF2, and HF Gases",Multiple authors,Molecules,2022,9
10.21203/rs.3.rs-1780644/v1,Ab-Initio Characterization of Iron Embedded Nitrogen Doped Graphene as a Toxic Gas Sensor,"Nosheen U, Abdul J, Ilyas SZ, et al.",Research Square (preprint),2022,7
10.1186/1556-276X-8-425,Adsorption of gas molecules on monolayer MoS2 and effect of applied electric field,"Ding Y, Wang Y, Ni J, Shi L, Shi S, Tang W",Nanoscale Research Letters,2013,7
10.1039/D2CP01234H,Atomistic Descriptions of Gas-Surface Interactions on Tin Dioxide,Blackman JA,Doctoral thesis / literature compilation (UCL),2022,6
10.3390/computation11120235,"Adsorption of SO2 Molecule on Pristine, N, Ga-Doped and -Ga-N- co-Doped Graphene: A DFT Study",Multiple authors,Computation,2023,6
10.3390/chemosensors9080227,Nitrogen Dioxide Gas Sensor Based on Ag-Doped Graphene: A First-Principle Study,"Li Q, Liu Y, Chen D, et al.",Chemosensors,2021,6
10.1039/D4CP04127E,Enhanced NH3 and NO sensing performance of Ti3C2O2 MXene by biaxial strain,NA,Physical Chemistry Chemical Physics,2025,5
