material_absorber,absorber_band_gap_eV,phase,a_site,a2_site,b1_site,b2_site,x_site,heat_of_formation_eV_per_atom,gap_method,functional,gap_type,material_class,perovskite_family,record_type,source_doi,source_paper
Cs2AgAlBr6 (cubic),1.0274,cubic,Cs,,Ag,Al,Br,-1.24055807,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgAsBr6 (cubic),0.781,cubic,Cs,,Ag,As,Br,-1.01283278,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgBiBr6 (cubic),1.1399,cubic,Cs,,Ag,Bi,Br,-1.14508968,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgInBr6 (cubic),0.1818,cubic,Cs,,Ag,In,Br,-1.16285904,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AgSbBr6 (cubic),0.8519,cubic,Cs,,Ag,Sb,Br,-1.097396247,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2AuBiBr6 (cubic),0.1284,cubic,Cs,,Au,Bi,Br,-1.04396848,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuAsBr6 (cubic),0.2252,cubic,Cs,,Cu,As,Br,-0.959211105,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuBiBr6 (cubic),0.5649,cubic,Cs,,Cu,Bi,Br,-1.093462005,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2CuSbBr6 (cubic),0.3254,cubic,Cs,,Cu,Sb,Br,-1.045705172,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAlBr6 (cubic),1.9981,cubic,Cs,,In,Al,Br,-1.325690505,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InAsBr6 (cubic),0.1267,cubic,Cs,,In,As,Br,-1.095792715,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InGaBr6 (cubic),1.016,cubic,Cs,,In,Ga,Br,-1.221824565,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InInBr6 (cubic),0.8082,cubic,Cs,,In,In,Br,-1.240542875,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2InSbBr6 (cubic),0.087,cubic,Cs,,In,Sb,Br,-1.169661782,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAlBr6 (cubic),2.6282,cubic,Cs,,Tl,Al,Br,-1.36037836,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlAsBr6 (cubic),0.8269,cubic,Cs,,Tl,As,Br,-1.11457837,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlBiBr6 (cubic),0.6537,cubic,Cs,,Tl,Bi,Br,-1.24036537,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlGaBr6 (cubic),1.4557,cubic,Cs,,Tl,Ga,Br,-1.22460492,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlInBr6 (cubic),1.6335,cubic,Cs,,Tl,In,Br,-1.26826333,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Cs2TlSbBr6 (cubic),0.6989,cubic,Cs,,Tl,Sb,Br,-1.193051637,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAlBr6 (cubic),1.0488,cubic,K,,Ag,Al,Br,-1.17548865,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgAsBr6 (cubic),0.7009,cubic,K,,Ag,As,Br,-0.93781856,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgBiBr6 (cubic),1.1002,cubic,K,,Ag,Bi,Br,-1.05289026,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgInBr6 (cubic),0.131,cubic,K,,Ag,In,Br,-1.08242902,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AgSbBr6 (cubic),0.7905,cubic,K,,Ag,Sb,Br,-1.009351227,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2AuBiBr6 (cubic),0.0912,cubic,K,,Au,Bi,Br,-0.95272066,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuAsBr6 (cubic),0.1748,cubic,K,,Cu,As,Br,-0.901987585,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuBiBr6 (cubic),0.5536,cubic,K,,Cu,Bi,Br,-1.014436285,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2CuSbBr6 (cubic),0.2896,cubic,K,,Cu,Sb,Br,-0.972103152,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAlBr6 (cubic),1.8402,cubic,K,,In,Al,Br,-1.235024085,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2InAsBr6 (cubic),0.1191,cubic,K,,In,As,Br,-1.002699795,DFT_indirect_gap,DFT_Paper5,fundamental_quasiparticle,halide_double_perovskite_absorber,A2B1B3X6_halide_double_perovskite,absorber_only,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
