material,ev_vbm_hse_eV,ec_cbm_hse_eV,eg_hse_eV,source_doi
BN,-6.56,-0.88,5.68,10.1103/PhysRevB.94.035125
BP,-5.43,-3.84,1.59,10.1103/PhysRevB.94.035125
BAs,-5.21,-3.78,1.43,10.1103/PhysRevB.94.035125
BSb,-4.83,-3.92,0.91,10.1103/PhysRevB.94.035125
AlN,-6.0,-1.96,4.04,10.1103/PhysRevB.94.035125
AlP,-5.76,-2.62,3.14,10.1103/PhysRevB.94.035125
AlAs,-5.58,-3.23,2.35,10.1103/PhysRevB.94.035125
AlSb_b,-4.38,-2.29,2.09,10.1103/PhysRevB.94.035125
GaN,-6.03,-2.8,3.23,10.1103/PhysRevB.94.035125
GaP_b,-4.29,-1.8,2.49,10.1103/PhysRevB.94.035125
GaAs_b,-5.64,-3.76,1.88,10.1103/PhysRevB.94.035125
GaSb_b,-4.37,-3.24,1.13,10.1103/PhysRevB.94.035125
InN,-5.11,-3.76,1.35,10.1103/PhysRevB.94.035125
InP_b,-4.36,-3.2,1.16,10.1103/PhysRevB.94.035125
InAs_b,-4.09,-3.05,1.04,10.1103/PhysRevB.94.035125
InSb_b,-4.09,-3.12,0.97,10.1103/PhysRevB.94.035125
SiC,-5.46,-2.19,3.27,10.1103/PhysRevB.94.035125
SiGe_b,-4.8,-4.25,0.55,10.1103/PhysRevB.94.035125
SiSn_b,-4.65,-4.06,0.59,10.1103/PhysRevB.94.035125
GeC,-5.25,-2.34,2.91,10.1103/PhysRevB.94.035125
GeSn_b,-4.53,-4.07,0.46,10.1103/PhysRevB.94.035125
SnC,-4.85,-3.0,1.85,10.1103/PhysRevB.94.035125
N_b,-8.68,-2.67,6.01,10.1103/PhysRevB.94.035125
P_b,-6.54,-3.81,2.73,10.1103/PhysRevB.94.035125
P_w,-5.51,-3.98,1.53,10.1103/PhysRevB.94.035125
As_b,-5.54,-3.48,2.06,10.1103/PhysRevB.94.035125
As_w,-4.96,-3.71,1.25,10.1103/PhysRevB.94.035125
Sb_b,-4.48,-3.26,1.22,10.1103/PhysRevB.94.035125
2H-MoS2,-6.33,-4.18,2.15,10.1103/PhysRevB.94.035125
2H-MoSe2,-5.54,-3.67,1.87,10.1103/PhysRevB.94.035125
2H-MoTe2,-5.09,-3.62,1.47,10.1103/PhysRevB.94.035125
2H-WS2,-5.86,-3.77,2.09,10.1103/PhysRevB.94.035125
2H-WSe2,-5.12,-3.37,1.75,10.1103/PhysRevB.94.035125
2H-WTe2,-4.46,-3.25,1.21,10.1103/PhysRevB.94.035125
1T-HfS2,-6.74,-4.75,1.99,10.1103/PhysRevB.94.035125
1T-HfSe2,-5.76,-4.74,1.02,10.1103/PhysRevB.94.035125
1T_d-ReS2,-6.24,-4.28,1.96,10.1103/PhysRevB.94.035125
1T_d-ReSe2,-5.5,-3.8,1.7,10.1103/PhysRevB.94.035125
TiS3,-4.33,-3.29,1.04,10.1103/PhysRevB.94.035125
HfS3,-4.59,-2.72,1.87,10.1103/PhysRevB.94.035125
HfSe3,-4.3,-3.32,0.98,10.1103/PhysRevB.94.035125
ZrS3,-4.46,-2.57,1.89,10.1103/PhysRevB.94.035125
ZrSe3,-4.21,-3.26,0.95,10.1103/PhysRevB.94.035125
