material,eg_hse06_eV,ev_vbm_eV
1T-CaI2,4.56,-7.1
1T-CdBr2,4.32,-7.94
1T-CdCl2,5.36,-8.87
1T-CdI2,2.99,-6.56
1T-GeBr2,3.09,-7.24
1T-GeI2,2.64,-6.34
1T-HfS2,2.04,-7.06
1T-HfSe2,1.1,-6.01
1T-HgBr2,3.79,-7.69
1T-MgBr2,5.86,-8.16
1T-MgCl2,7.49,-9.22
1T-MgI2,4.16,-6.72
1T-NiO2,3.29,-9.97
1T-OTl2,1.51,-5.4
1T-PbI2,2.65,-6.72
1T-PdTe2,0.09,-4.45
1T-PtO2,3.5,-8.04
1T-PtS2,2.65,-6.92
1T-PtSe2,1.72,-5.85
1T-PtTe2,0.62,-4.52
1T-STl2,1.89,-5.15
1T-SnS2,2.48,-7.45
1T-SnSe2,1.44,-6.62
1T-TiS2,0.71,-6.42
1T-YbI2,2.35,-5.19
1T-ZnBr2,4.61,-7.82
1T-ZnCl2,6.12,-8.8
1T-ZnI2,2.59,-6.44
1T-ZrS2,1.95,-7.2
1T-ZrSe2,0.94,-6.15
2H-GeI2,2.36,-6.32
2H-MoS2,2.22,-6.44
2H-MoSe2,1.95,-5.81
2H-MoTe2,1.5,-5.25
2H-WS2,2.2,-6.08
2H-WSe2,1.88,-5.46
2H-WTe2,1.3,-4.92
2H-ZrCl2,1.55,-4.58
