ml_a,ml_b,bilayer_eg_eV,delta_ev_eV,delta_ec_eV
1T-AsSn2,-,-96.4,-88.5,0.0
1T-AuTe2,-67.3,-74.3,-75.1,0.0
1T-BiTe2,-,-81.7,-83.1,0.0
1T-CaI2,-15.2,-9.9,-15.3,3.85
1T-CdBr2,-11.2,-10.8,-17.5,3.27
1T-CdCl2,-11.2,-11.0,-17.8,3.94
1T-CdI2,-12.5,-10.7,-17.2,2.43
1T-CoBr2,-13.9,-16.8,-23.3,0.38
1T-CoCl2,-14.5,-16.2,-22.3,0.37
1T-CoI2,-12.5,-18.3,-24.3,0.0
1T-CoO2,-39.3,-22.6,-34.2,0.0
1T-CoTe2,-50.6,-51.4,-50.7,0.0
1T-CrS2,-,-53.0,-59.1,0.0
1T-CrSe2,-36.0,-23.3,-29.7,0.0
1T-CrTe2,-33.4,-41.1,-45.3,0.0
1T-FeBr2,-14.7,-15.5,-22.2,0.0
1T-FeCl2,-10.6,-15.3,-22.1,0.0
1T-FeI2,-16.2,-16.9,-23.3,0.0
1T-GeBr2,-,-10.8,-16.5,2.35
1T-GeI2,-12.2,-12.1,-17.6,2.14
1T-HfS2,-27.9,-18.1,-23.2,1.24
1T-HfSe2,-23.7,-18.8,-23.9,0.58
1T-HfTe2,-25.6,-23.4,-26.4,0.0
1T-HgBr2,-,-10.9,-18.5,2.73
1T-IrTe2,-50.5,-55.0,-55.1,0.0
1T-MgBr2,-13.5,-10.2,-15.3,4.76
1T-MgCl2,-12.0,-12.3,-17.7,6.02
1T-MgI2,-13.8,-10.8,-16.2,3.62
1T-MnBr2,-13.2,-15.4,-22.2,2.88
1T-MnCl2,-11.0,-14.8,-21.5,3.72
1T-MnI2,-14.8,-17.0,-23.3,1.89
1T-MoS2,-41.7,-28.6,-33.5,0.0
1T-NBa2,-136.4,-44.0,-45.2,0.0
1T-NCa2,-135.0,-71.7,-71.4,0.0
1T-NSr2,-128.4,-57.2,-57.1,0.0
1T-NbS2,-42.3,-27.2,-30.9,0.0
1T-NbSe2,-37.8,-28.3,-32.7,0.0
1T-NbTe2,-34.4,-28.3,-31.8,0.0
1T-NiBr2,-14.2,-18.1,-24.4,1.35
1T-NiCl2,-15.5,-16.3,-22.6,1.5
1T-NiI2,-16.0,-21.5,-26.9,0.98
1T-NiO2,-6.0,-17.0,-28.5,1.31
1T-CaI2,1T-CdBr2,3.48,0.84,1.07
1T-CaI2,1T-CdCl2,3.59,1.77,0.97
1T-CaI2,1T-GeBr2,2.96,0.14,1.6
1T-CaI2,1T-HgBr2,3.2,0.59,1.36
1T-CaI2,1T-PtO2,2.56,0.94,2.0
1T-CaI2,1T-ZnCl2,4.43,1.7,0.13
1T-CdI2,1T-CdBr2,2.94,1.38,0.05
1T-MgI2,1T-CdBr2,3.1,1.22,1.06
1T-STl2,1T-CdBr2,1.54,2.78,0.35
1T-YbI2,1T-CdBr2,1.57,2.75,0.79
1T-ZnBr2,1T-CdBr2,4.2,0.12,0.41
1T-MgBr2,1T-CdCl2,4.65,0.71,1.21
1T-MgI2,1T-CdCl2,3.21,2.15,0.95
1T-CdCl2,1T-NiO2,2.19,1.11,3.17
1T-STl2,1T-CdCl2,1.64,3.71,0.24
1T-YbI2,1T-CdCl2,1.67,3.68,0.68
1T-ZnBr2,1T-CdCl2,4.31,1.05,0.3
1T-ZnCl2,1T-CdCl2,5.29,0.07,0.84
1T-CdI2,1T-GeBr2,2.42,0.68,0.57
1T-CdI2,1T-HfS2,1.55,0.5,1.45
1T-CdI2,1T-HgBr2,2.66,1.13,0.33
1T-CdI2,1T-PbI2,2.49,0.16,0.5
1T-CdI2,1T-PtS2,2.3,0.36,0.69
1T-STl2,1T-CdI2,1.59,1.41,0.3
1T-CdI2,1T-SnS2,1.59,0.89,1.4
1T-YbI2,1T-CdI2,1.62,1.37,0.74
1T-CdI2,1T-ZrS2,1.31,0.64,1.68
1T-MgI2,1T-GeBr2,2.58,0.52,1.59
1T-GeBr2,1T-NiO2,0.56,2.74,2.54
1T-OTl2,1T-GeBr2,1.26,1.83,0.25
1T-GeBr2,1T-PtO2,2.69,0.81,0.4
1T-PtSe2,1T-GeBr2,1.71,1.38,0.01
1T-PtTe2,1T-GeBr2,0.38,2.72,0.25
1T-STl2,1T-GeBr2,1.01,2.08,0.88
1T-GeBr2,1T-SnS2,2.27,0.22,0.83
1T-YbI2,1T-GeBr2,1.04,2.05,1.31
1T-ZnI2,1T-GeBr2,2.3,0.8,0.29
2H-GeI2,1T-GeBr2,2.17,0.92,0.19
2H-WS2,1T-GeBr2,1.94,1.15,0.26
1T-GeI2,1T-PbI2,2.27,0.38,0.37
1T-GeI2,1T-PtO2,1.8,1.7,0.84
1T-GeI2,1T-PtS2,2.08,0.57,0.56
1T-STl2,1T-GeI2,1.45,1.19,0.44
1T-GeI2,1T-SnSe2,1.17,0.28,1.47
1T-GeI2,1T-TiS2,0.63,0.08,2.0
1T-YbI2,1T-GeI2,1.48,1.16,0.88
1T-GeI2,1T-ZnI2,2.49,0.1,0.15
1T-GeI2,2H-MoS2,2.13,0.09,0.51
1T-MgI2,1T-HfS2,1.71,0.34,2.46
1T-CaI2,1T-NiO2,0.42,0.61,2.87
1T-CaI2,1T-SnS2,2.13,2.3,0.35
1T-CaI2,1T-ZnBr2,3.89,4.01,0.72
1T-CaI2,1T-ZrS2,1.85,2.09,0.1
1T-CdBr2,1T-NiO2,1.26,1.42,2.04
1T-CdBr2,1T-PtO2,3.39,3.55,0.11
2H-WSe2,1T-CdBr2,1.84,2.26,2.48
2H-WTe2,1T-CdBr2,1.3,1.96,3.02
2H-ZrCl2,1T-CdBr2,0.96,1.51,3.36
2H-ZrCl2,1T-CdCl2,1.07,1.72,4.29
1T-CdI2,1T-PtO2,2.02,2.12,1.48
1T-CdI2,1T-SnSe2,1.38,1.7,0.06
2H-ZrCl2,1T-CdI2,1.01,1.3,1.98
1T-GeI2,1T-GeBr2,2.2,2.31,0.89
1T-PbI2,1T-GeBr2,2.58,2.79,0.51
2H-MoSe2,1T-GeBr2,1.67,2.02,1.43
2H-MoTe2,1T-GeBr2,1.1,1.48,1.99
2H-WSe2,1T-GeBr2,1.32,1.77,1.78
2H-WTe2,1T-GeBr2,0.77,1.44,2.32
2H-ZrCl2,1T-GeBr2,0.43,1.02,2.66
1T-GeI2,1T-HfS2,1.33,1.46,0.71
1T-GeI2,1T-HgBr2,2.44,2.67,1.35
1T-GeI2,1T-SnS2,1.37,1.65,1.11
1T-GeI2,1T-ZrS2,1.09,1.23,0.86
2H-WSe2,1T-GeI2,1.75,2.4,0.88
2H-WTe2,1T-GeI2,1.21,1.64,1.43
2H-ZrCl2,1T-GeI2,0.87,1.28,1.77
1T-HfSe2,1T-HfS2,1.0,1.52,1.04
1T-HfS2,1T-NiO2,0.38,0.73,2.91
1T-PtSe2,1T-HfS2,0.84,1.7,1.2
1T-ZnI2,1T-HfS2,1.43,1.6,0.62
1T-HfS2,1T-ZrS2,1.81,2.41,0.14
2H-GeI2,1T-HfS2,1.3,1.41,0.74
2H-MoS2,1T-HfS2,1.42,1.59,0.62
2H-MoSe2,1T-HfS2,0.8,1.11,1.25
2H-MoTe2,1T-HfS2,0.23,0.39,1.81
2H-WS2,1T-HfS2,1.07,1.25,0.98
1T-PtSe2,1T-HfSe2,0.94,1.85,0.16
1T-HfSe2,1T-SnS2,1.05,1.61,1.44
1T-HfSe2,1T-SnSe2,0.84,1.73,0.61
1T-HfSe2,1T-ZrS2,0.76,1.25,1.18
1T-HfSe2,1T-ZrSe2,0.8,1.54,0.14
2H-MoSe2,1T-HfSe2,0.89,1.05,0.21
2H-MoTe2,1T-HfSe2,0.33,0.49,0.77
2H-WSe2,1T-HfSe2,0.54,0.71,0.55
1T-HgBr2,1T-NiO2,1.01,1.23,2.28
2H-MoTe2,1T-HgBr2,1.34,1.58,2.45
1T-CdI2,1T-CaI2,2.99,3.36,0.54
1T-GeI2,1T-CaI2,2.64,3.05,0.76
1T-HfS2,1T-CaI2,2.04,2.9,0.04
1T-HfSe2,1T-CaI2,1.1,2.02,1.09
1T-CaI2,1T-MgBr2,4.56,5.22,1.06
1T-CaI2,1T-MgCl2,4.56,5.22,2.12
1T-MgI2,1T-CaI2,4.16,4.64,0.38
1T-OTl2,1T-CaI2,1.51,1.51,1.7
1T-PbI2,1T-CaI2,2.65,2.91,0.38
1T-PdTe2,1T-CaI2,0.09,0.83,2.65
