layer_role,material,Eg_eV,chi_eV,source_table,source_doi
absorber,K2TiI6,1.61,4.0,Table 1,10.1038/s41598-025-98351-y
etl,PC60BM,1.8,4.2,Table 1,10.1038/s41598-025-98351-y
etl,LBSO,3.12,4.4,Table 1,10.1038/s41598-025-98351-y
etl,Nb2O5,3.46,4.33,Table 1,10.1038/s41598-025-98351-y
etl,CdZnS,3.2,4.2,Table 1,10.1038/s41598-025-98351-y
htl,MWCNTs,1.55,3.64,Table 2,10.1038/s41598-025-98351-y
htl,MoO3,3.0,2.3,Table 2,10.1038/s41598-025-98351-y
htl,PTAA,2.96,2.3,Table 2,10.1038/s41598-025-98351-y
htl,TiO2:N,3.0,2.2,Table 2,10.1038/s41598-025-98351-y
htl,NiCo2O4,2.3,3.48,Table 2,10.1038/s41598-025-98351-y
htl,C6TBTAPH2,1.59,3.58,Table 2,10.1038/s41598-025-98351-y
htl,nPB,2.4,3.0,Table 2,10.1038/s41598-025-98351-y
htl,C6PcH2,1.6,3.7,Table 2,10.1038/s41598-025-98351-y
htl,CuAlO2,3.46,2.5,Table 2,10.1038/s41598-025-98351-y
htl,D-PBTTT-14,2.16,3.2,Table 2,10.1038/s41598-025-98351-y
