layer_role,material,Eg_eV,chi_eV,source_table,source_doi
absorber,CsPb0.625Zn0.375IBr2,1.05,4.27,Table 1,10.1038/s41598-024-81797-x
etl,SnS2,1.85,4.26,Table 1,10.1038/s41598-024-81797-x
etl,ZnSe,2.81,4.09,Table 1,10.1038/s41598-024-81797-x
etl,CdS,2.4,4.18,Table 1,10.1038/s41598-024-81797-x
etl,PC60BM,1.8,4.2,Table 1,10.1038/s41598-024-81797-x
htl,PTAA,2.96,2.3,Table 2,10.1038/s41598-024-81797-x
htl,GaAs,1.42,4.07,Table 2,10.1038/s41598-024-81797-x
htl,ZnTe,2.25,3.73,Table 2,10.1038/s41598-024-81797-x
htl,CNTS,1.74,3.87,Table 2,10.1038/s41598-024-81797-x
htl,MoO3,3.0,2.3,Table 2,10.1038/s41598-024-81797-x
htl,MEH-PPV,2.1,2.8,Table 2,10.1038/s41598-024-81797-x
htl,CuAlO2,3.46,2.5,Table 2,10.1038/s41598-024-81797-x
htl,MoS2,1.29,4.2,Table 2,10.1038/s41598-024-81797-x
htl,Cu2Te,1.18,4.2,Table 2,10.1038/s41598-024-81797-x
htl,Zn3P2,1.5,4.2,Table 2,10.1038/s41598-024-81797-x
