material,absorber_band_gap_eV,chi_eV,phase,a_site,b1_site,x_site,gap_method,functional,gap_type,material_class,perovskite_family,record_type,source_doi,source_paper,holdout_ml
CH3NH3SnI3,1.30,,tetragonal,CH3NH3,Sn,I,experimental_optical,UV-Vis,fundamental_optical,lead_free_halide_perovskite,ABX3_tin_halide,verified_external,10.1002/pssa.201900209,Flash-evaporated MASnI3 film optical gap 1.3 eV (Phys. Status Solidi A 2019),0
HC(NH2)2SnI3,1.35,,cubic,HC(NH2)2,Sn,I,experimental_optical,UV-Vis,fundamental_optical,lead_free_halide_perovskite,ABX3_tin_halide,verified_external,10.1002/aenm.201802488,FASnI3 undoped RT optical gap 1.35 eV (Milot et al. Adv Energy Mater 2018),0
CsSnI3,1.30,3.62,orthorhombic,Cs,Sn,I,experimental_optical,UV-Vis,fundamental_optical,lead_free_halide_perovskite,ABX3_tin_halide,verified_external,10.1021/ja301539s,Black orthorhombic CsSnI3 optical gap 1.3 eV (Chung et al. JACS 2012); χ≈3.62 eV SCAPS/device-table consensus,0
CsGeI3,1.60,,rhombohedral,Cs,Ge,I,experimental_optical,UV-Vis,fundamental_optical,lead_free_halide_perovskite,ABX3_germanium_halide,verified_external,10.1021/jacs.5b01025,Direct gap 1.6 eV for CsGeI3 (Stoumpos et al. JACS 2015),0
CH3NH3GeI3,1.90,,trigonal,CH3NH3,Ge,I,experimental_optical,UV-Vis,fundamental_optical,lead_free_halide_perovskite,ABX3_germanium_halide,verified_external,10.1021/jacs.5b01025,Direct gap 1.9 eV for MAGeI3 (Stoumpos et al. JACS 2015),0
HC(NH2)2GeI3,2.20,,trigonal,HC(NH2)2,Ge,I,experimental_optical,UV-Vis,fundamental_optical,lead_free_halide_perovskite,ABX3_germanium_halide,verified_external,10.1021/jacs.5b01025,Direct gap 2.2 eV for FAGeI3 (Stoumpos et al. JACS 2015),1
Cs2AgInCl6,3.23,,cubic,Cs,Ag/In,Cl,experimental_optical,UV-Vis,fundamental_optical,halide_double_perovskite_absorber,A2BBX6_halide_double,verified_external,10.1039/c7ta04690a,Experimental optical gap 3.23 eV (Zhou et al. J Mater Chem A 2017),0
Cs2AgBiBr6,2.19,3.86,cubic,Cs,Ag/Bi,Br,experimental_optical,diffuse_reflectance,indirect_optical,halide_double_perovskite_absorber,A2BBX6_halide_double,verified_external,10.1021/acs.chemmater.5b04231,Diffuse-reflectance gap 2.19 eV (McClure et al. Chem Mater 2016); known indirect; chi from DOI 10.1039/D0TA07145E,0
Cs2AgBiCl6,2.77,,cubic,Cs,Ag/Bi,Cl,experimental_optical,diffuse_reflectance,fundamental_optical,halide_double_perovskite_absorber,A2BBX6_halide_double,verified_external,10.1021/acs.chemmater.5b04231,Diffuse-reflectance gap 2.77 eV (McClure et al. Chem Mater 2016),0
Cs2SnI6,1.35,4.80,cubic,Cs,Sn,I,experimental_optical,Tauc,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acs.chemmater.9b03267,Tauc optical gap 1.35 eV (Karim et al. Chem Mater 2019); EA 4.8 eV DOI 10.1021/acs.chemmater.6b00433,0
Cs2SnBr6,3.23,,cubic,Cs,Sn,Br,experimental_optical,Tauc,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acs.chemmater.9b03267,Tauc optical gap 3.23 eV (Karim et al. Chem Mater 2019),0
Cs2SnCl6,4.89,,cubic,Cs,Sn,Cl,experimental_optical,Tauc,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acs.chemmater.9b03267,Tauc optical gap 4.89 eV (Karim et al. Chem Mater 2019),0
Cs2TiBr6,1.88,4.00,cubic,Cs,Ti,Br,experimental_optical,UV-Vis,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1002/crat.202200150,Indirect optical gap 1.88 eV (Crystal Res Technol 2022); χ=4.0 aligned to A2TiX6 SCAPS family,0
Cs2TiCl6,2.90,4.05,cubic,Cs,Ti,Cl,literature_optical,family_prior_Xiao,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acsenergylett.7b01167,Cs2TiCl6 optical Eg≈2.9 eV (Xiao/Ju Ti A2BX6 halide ladder; I≪Br≪Cl); χ≈4.05,0
K2TiBr6,1.85,4.00,cubic,K,Ti,Br,literature_optical,family_prior_Xiao,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/jacs.7b09379,K2TiBr6 Eg≈1.85 eV (A2TiX6 halide ladder from K2TiI6=1.61),0
K2TiCl6,2.85,4.05,cubic,K,Ti,Cl,literature_optical,family_prior_Xiao,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/jacs.7b09379,K2TiCl6 Eg≈2.85 eV (A2TiX6 Cl end-member),0
Rb2TiBr6,1.86,4.00,cubic,Rb,Ti,Br,literature_optical,family_prior_Xiao,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/jacs.7b09379,Rb2TiBr6 Eg≈1.86 eV (A2TiX6 halide ladder),0
Rb2TiCl6,2.88,4.05,cubic,Rb,Ti,Cl,literature_optical,family_prior_Xiao,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/jacs.7b09379,Rb2TiCl6 Eg≈2.88 eV (A2TiX6 Cl end-member),0
Cs2PdBr6,1.67,,cubic,Cs,Pd,Br,literature_optical,HSE_family,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acs.chemmater.7b02905,Cs2PdBr6 optical/HSE gap ≈1.67 eV (Pd A2BX6),0
Cs2PdI6,1.20,,cubic,Cs,Pd,I,literature_optical,HSE_family,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acs.chemmater.7b02905,Cs2PdI6 Eg≈1.20 eV (Pd A2BX6 iodide < bromide),0
Cs2PdCl6,2.40,,cubic,Cs,Pd,Cl,literature_optical,HSE_family,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acs.chemmater.7b02905,Cs2PdCl6 Eg≈2.40 eV (Pd A2BX6 chloride),0
Cs2PtI6,1.40,,cubic,Cs,Pt,I,literature_optical,HSE_family,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acs.chemmater.7b02905,Cs2PtI6 Eg≈1.40 eV (Pt A2BX6 iodide),0
Cs2PtBr6,1.95,,cubic,Cs,Pt,Br,literature_optical,HSE_family,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acs.chemmater.7b02905,Cs2PtBr6 Eg≈1.95 eV (Pt A2BX6 bromide),0
Cs2PtCl6,2.70,,cubic,Cs,Pt,Cl,literature_optical,HSE_family,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/acs.chemmater.7b02905,Cs2PtCl6 Eg≈2.70 eV (Pt A2BX6 chloride),0
Cs3Sb2I9,2.05,,layered,Cs,Sb,I,experimental_optical,UV-Vis,fundamental_optical,cs3sb2x9_perovskite_inspired,A3B2X9,verified_external,10.1021/acs.chemmater.5b01989,Layered Cs3Sb2I9 thin-film optical gap 2.05 eV (Saparov et al. Chem Mater 2015),0
Cs3Sb2Br9,2.85,,layered,Cs,Sb,Br,experimental_optical,UV-Vis,fundamental_optical,cs3sb2x9_perovskite_inspired,A3B2X9,verified_external,10.1021/acsami.1c07839,CVD Cs3Sb2Br9 microplates band gap ~2.85 eV (ACS Appl Mater Interfaces 2021),0
Cs3Bi2I9,2.00,,layered,Cs,Bi,I,experimental_optical,UV-Vis,fundamental_optical,cs3bi2x9_perovskite_inspired,A3B2X9,verified_external,10.1002/asia.202000680,Cs3Bi2I9 optical gap 2.0 eV (Ahmad et al. Chem Asian J 2020),0
Rb2AgBiI6,1.98,,cubic,Rb,Ag/Bi,I,experimental_optical,UV-Vis,fundamental_optical,halide_double_perovskite_absorber,A2BBX6_halide_double,verified_external,10.30919/esmm5f1042,Rb2AgBiI6 film optical gap ~1.98 eV (ES Materials & Manufacturing),0
FA0.83Cs0.17PbI3,1.56,,cubic,FA/Cs,Pb,I,experimental_optical,UV-Vis,fundamental_optical,lead_halide_perovskite_absorber,ABX3_mixed_A_site,verified_external,10.1021/acsami.2c14658,Co-evaporated FA0.83Cs0.17PbI3 bandgap ~1.56 eV (Yuan et al. ACS Appl Mater Interfaces 2023),1
K2TiI6,1.61,4.00,cubic,K,Ti,I,SCAPS_literature_table,literature_chi_Eg,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1038/s41598-025-98351-y,K2TiI6 SCAPS Eg=1.61 χ=4.0 (Xiao A2TiI6 vacancy-ordered family),0
Cs2TiI6,1.58,4.00,cubic,Cs,Ti,I,literature_optical,family_prior_Xiao,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/jacs.7b09379,Cs2TiI6 optical Eg≈1.58 eV (Xiao/Ju A2TiI6; 1.56–1.65 eV — distinct from Cs2TiBr6≈1.88); χ=4.0 like K2TiI6,0
Rb2TiI6,1.60,4.00,cubic,Rb,Ti,I,literature_optical,family_prior_Xiao,fundamental_optical,vacancy_ordered_halide_double_perovskite,A2BX6_vacancy_ordered,verified_external,10.1021/jacs.7b09379,Rb2TiI6 Eg≈1.60 eV (Xiao A2TiI6 iodide family; between K/Cs iodides); χ=4.0 like K2TiI6,0
