material,absorber_band_gap_eV,phase,a_site,b1_site,x_site,gap_method,functional,gap_type,material_class,perovskite_family,record_type,source_doi,source_paper
CsPbI3,1.73,cubic,Cs,Pb,I,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_lead_halide_perovskite,verified_external,10.3390/physchem5010003,"Suto et al. PhysChem 2025 — α-CsPbI3 photoactive phase"
CsPbBr3,2.36,cubic,Cs,Pb,Br,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_lead_halide_perovskite,verified_external,10.1039/D3CP05956A,"Zhang et al. Phys Chem Chem Phys 2024 — CsPbBr3 nanocrystals optical gap"
CsPbCl3,2.98,cubic,Cs,Pb,Cl,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_lead_halide_perovskite,verified_external,10.1039/D3CP05956A,"Zhang et al. Phys Chem Chem Phys 2024 — CsPbCl3 nanocrystals optical gap"
CH3NH3PbI3,1.55,tetragonal,CH3NH3,Pb,I,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_organic_inorganic_halide,verified_external,10.1038/nature12340,"Liu et al. Nature 2013 — MAPbI3 thin-film perovskite solar cell"
HC(NH2)2PbI3,1.48,cubic,HC(NH2)2,Pb,I,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_organic_inorganic_halide,verified_external,10.1038/ncomms7382,"Eperon et al. Nat Commun 2015 — FAPbI3 α-phase"
RbPbI3,2.10,orthorhombic,Rb,Pb,I,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_lead_halide_perovskite,verified_external,10.1021/acs.chemmater.5b02716,"Endres et al. Chem Mater 2015 — RbPbI3 bulk optical gap"
CH3NH3PbBr3,2.32,cubic,CH3NH3,Pb,Br,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_organic_inorganic_halide,verified_external,10.1038/ncomms7228,"Schmidt et al. Nat Commun 2014 — MAPbBr3 single crystals"
CH3NH3PbCl3,2.88,cubic,CH3NH3,Pb,Cl,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_organic_inorganic_halide,verified_external,10.1038/ncomms7228,"Schmidt et al. Nat Commun 2014 — MAPbCl3 single crystals"
HC(NH2)2PbBr3,2.23,cubic,HC(NH2)2,Pb,Br,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_organic_inorganic_halide,verified_external,10.1038/ncomms7382,"Eperon et al. Nat Commun 2015 — FAPbBr3"
CsPbI2Br,2.00,cubic,Cs,Pb,I/Br,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_mixed_halide,verified_external,10.1039/D5CC00735F,"Borriello et al. Chem Commun 2025 — CsPb(I2Br)3 Vegard-series optical gap"
CsPbBr2Cl,2.65,cubic,Cs,Pb,Br/Cl,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_mixed_halide,verified_external,10.1039/D5CC00735F,"Borriello et al. Chem Commun 2025 — CsPb(Br2Cl)3 Vegard-series optical gap"
CsPbBrI2,1.92,cubic,Cs,Pb,I/Br,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_mixed_halide,verified_external,10.1039/D5CC00735F,"Borriello et al. Chem Commun 2025 — CsPb(BrI2)3 Vegard-series optical gap"
CsPbBr2I,2.11,cubic,Cs,Pb,I/Br,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_mixed_halide,verified_external,10.1039/D5CC00735F,"Borriello et al. Chem Commun 2025 — CsPb(Br2I)3 Vegard-series optical gap"
CsPbClBr2,2.51,cubic,Cs,Pb,Cl/Br,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_mixed_halide,verified_external,10.1039/D5CC00735F,"Borriello et al. Chem Commun 2025 — CsPb(ClBr2)3 Vegard-series optical gap"
CsPbCl2Br,2.74,cubic,Cs,Pb,Cl/Br,experimental_optical,UV-Vis_Tauc,fundamental_optical,lead_halide_perovskite_absorber,ABX3_mixed_halide,verified_external,10.1039/D5CC00735F,"Borriello et al. Chem Commun 2025 — CsPb(Cl2Br)3 Vegard-series optical gap"
