iter	Passed	Remaining
0	3	1062
1	6	983
2	9	897
3	12	917
4	14	868
5	16	821
6	18	778
7	20	739
8	21	708
9	23	684
10	25	660
11	26	641
12	28	625
13	30	614
14	31	602
15	33	591
16	34	580
17	36	570
18	37	561
19	39	551
20	40	542
21	42	534
22	43	527
23	45	522
24	46	516
25	48	509
26	49	504
27	51	498
28	52	493
29	54	488
30	55	483
31	57	479
32	59	482
33	61	478
34	62	474
35	64	470
36	65	467
37	67	463
38	68	460
39	70	456
40	71	453
41	73	450
42	74	446
43	76	444
44	77	441
45	79	438
46	80	435
47	82	432
48	83	430
49	85	426
50	86	424
51	88	421
52	89	419
53	91	416
54	92	414
55	94	411
56	95	409
57	97	406
58	98	403
59	100	401
60	101	398
61	103	396
62	104	394
63	106	393
64	108	391
65	109	388
66	111	386
67	112	384
68	114	381
69	115	379
70	116	375
71	118	373
72	119	371
73	121	369
74	122	368
75	124	366
76	125	364
77	127	361
78	128	359
79	130	357
80	131	356
81	133	354
82	134	351
83	136	349
84	137	348
85	139	346
86	140	345
87	142	343
88	143	341
89	145	339
90	146	337
91	148	336
92	150	334
93	152	333
94	153	332
95	155	330
96	157	328
97	158	327
98	160	325
99	162	324
100	163	322
101	165	320
102	167	320
103	171	322
104	173	321
105	178	326
106	180	325
107	181	323
108	183	321
109	185	321
110	188	320
111	189	318
112	191	316
113	192	314
114	194	312
115	195	310
116	197	308
117	199	307
118	200	305
119	202	304
120	204	302
121	206	300
122	207	298
123	209	296
124	210	295
125	213	294
126	217	295
127	221	297
128	226	299
129	229	300
130	234	302
131	239	304
132	242	304
133	245	304
134	248	303
135	251	302
136	253	301
137	256	300
138	259	300
139	263	300
140	265	299
141	267	297
142	269	295
143	271	293
144	272	291
145	274	289
146	276	287
147	278	285
148	280	284
149	282	282
150	284	280
151	285	278
152	287	276
153	289	274
154	291	273
155	294	271
156	296	269
157	297	267
158	299	265
159	301	263
160	303	261
161	305	259
162	306	257
163	308	255
164	309	253
165	311	251
166	312	248
167	314	246
168	315	244
169	316	242
170	318	240
171	319	238
172	321	235
173	322	233
174	324	231
175	325	229
176	327	227
177	329	225
178	330	223
179	332	221
180	333	219
181	335	217
182	336	215
183	338	213
184	339	211
185	341	209
186	342	207
187	344	204
188	345	202
189	346	200
190	348	198
191	349	196
192	351	194
193	352	192
194	354	190
195	355	188
196	357	186
197	358	184
198	360	182
199	361	180
200	362	178
201	364	176
202	365	174
203	367	172
204	368	170
205	369	168
206	371	166
207	372	164
208	374	162
209	375	161
210	377	159
211	378	157
212	380	155
213	382	153
214	386	152
215	388	151
216	390	149
217	391	147
218	393	145
219	395	143
220	396	141
221	398	139
222	399	137
223	401	136
224	402	134
225	404	132
226	405	130
227	407	128
228	408	126
229	410	124
230	411	122
231	413	121
232	414	119
233	416	117
234	417	115
235	419	113
236	420	111
237	422	109
238	423	108
239	425	106
240	426	104
241	428	102
242	429	100
243	431	99
244	432	97
245	434	95
246	435	93
247	437	91
248	438	89
249	440	88
250	441	86
251	443	84
252	444	82
253	445	80
254	447	78
255	448	77
256	450	75
257	451	73
258	453	71
259	454	69
260	456	68
261	457	66
262	459	64
263	460	62
264	462	61
265	463	59
266	464	57
267	466	55
268	467	53
269	469	52
270	470	50
271	472	48
272	473	46
273	475	45
274	476	43
275	477	41
276	479	39
277	480	38
278	482	36
279	484	34
280	485	32
281	487	31
282	488	29
283	489	27
284	491	25
285	492	24
286	494	22
287	495	20
288	497	18
289	498	17
290	500	15
291	501	13
292	503	12
293	504	10
294	506	8
295	507	6
296	508	5
297	510	3
298	511	1
299	513	0
